日期,廠名,導電度( μscm),氫離子濃度指標,水溫(℃)
20190926,土城,5289,6.48,29.69
20190926,大甲幼獅,8439,6.88,27.17
20190926,大武崙,2400,7.05,24.62
20190926,大社,7240,6.61,32.16
20190926,大發,8857,7.62,33.18
20190926,大園,4519,7.07,28.99
20190926,中壢,3640,7.04,30.42
20190926,內埔,1974,7.09,28.83
20190926,斗六,2846,7.28,29.41
20190926,台中,1678,6.64,27.35
20190926,台南科技,8189,6.83,27.68
20190926,平鎮,2132,6.74,29.48
20190926,民雄,4198,7.00,33.99
20190926,永安,7077,6.76,31.98
20190926,永康,2694,7.29,32.05
20190926,全興,2480,7.65,31.28
20190926,安平,1416,7.55,29.53
20190926,竹圍子,3972,7.27,30.65
20190926,官田,4439,6.88,29.26
20190926,林園,5913,7.54,32.57
20190926,芳苑,3030,8.55,33.15
20190926,南崗,3276,6.48,30.27
20190926,屏南,5766,7.48,31.96
20190926,桃園幼獅,3100,6.81,24.93
20190926,雲林科技,1443,3.54,16.00
20190926,新北,616,7.17,26.50
20190926,新竹,5084,6.90,28.43
20190926,新營,6089,7.31,31.64
20190926,嘉太,5684,7.09,29.10
20190926,彰濱鹿港,5095,7.71,29.13
20190926,彰濱線西,6941,7.61,28.18
20190926,龍德,2662,7.76,24.88
20190926,龜山,2114,6.86,31.57
20190926,臨海,6994,7.20,33.84
20190926,觀音,4064,7.05,29.14
20190927,土城,4954,6.55,30.14
20190927,大甲幼獅,7809,7.40,27.47
20190927,大武崙,1415,7.09,24.26
20190927,大社,7331,6.66,32.56
20190927,大發,9956,7.21,33.95
20190927,大園,4690,7.08,29.22
20190927,中壢,3963,7.06,30.73
20190927,內埔,2198,7.08,28.87
20190927,斗六,2838,7.29,29.72
20190927,台中,1703,7.17,27.87
20190927,台南科技,8022,6.85,27.89
20190927,平鎮,1937,6.75,29.84
20190927,民雄,4296,6.90,34.09
20190927,永安,7137,6.87,31.24
20190927,永康,2614,7.26,31.86
20190927,全興,2301,7.42,31.86
20190927,安平,1440,7.55,29.91
20190927,竹圍子,3953,7.18,30.75
20190927,官田,4264,6.92,29.67
20190927,林園,6219,7.48,34.70
20190927,芳苑,2807,7.66,33.67
20190927,南崗,4969,6.52,30.54
20190927,屏南,5852,7.40,31.79
20190927,桃園幼獅,3474,6.92,25.71
20190927,雲林科技,1452,3.57,16.15
20190927,新北,650,7.20,26.75
20190927,新竹,5271,6.92,28.67
20190927,新營,6244,7.29,31.96
20190927,嘉太,6004,6.91,30.46
20190927,彰濱鹿港,5203,7.77,29.43
20190927,彰濱線西,6800,7.67,28.64
20190927,龍德,2860,7.63,24.88
20190927,龜山,2317,6.84,34.39
20190927,臨海,7105,7.01,33.72
20190927,觀音,4360,7.12,29.11
20190928,土城,5338,6.61,31.35
20190928,大甲幼獅,7365,7.44,27.85
20190928,大武崙,733,7.08,23.88
20190928,大社,7309,6.56,32.91
20190928,大發,9906,7.18,34.10
20190928,大園,4690,6.99,28.63
20190928,中壢,3960,7.08,30.75
20190928,內埔,2284,7.07,28.98
20190928,斗六,2762,7.33,30.43
20190928,台中,1699,7.42,28.33
20190928,台南科技,7914,6.85,28.16
20190928,平鎮,2190,6.74,30.13
20190928,民雄,4355,6.86,33.08
20190928,永安,7880,7.00,32.31
20190928,永康,2612,7.18,32.59
20190928,全興,2256,7.24,31.63
20190928,安平,1475,7.54,30.17
20190928,竹圍子,3926,7.14,30.74
20190928,官田,3979,6.91,30.09
20190928,林園,6490,7.50,35.33
20190928,芳苑,2753,7.92,34.09
20190928,南崗,4995,6.57,30.88
20190928,屏南,6050,7.25,31.90
20190928,桃園幼獅,3332,6.80,26.22
20190928,雲林科技,1627,3.46,16.25
20190928,新北,601,7.20,26.83
20190928,新竹,5464,6.97,28.92
20190928,新營,6161,7.21,31.66
20190928,嘉太,6123,6.92,31.74
20190928,彰濱鹿港,5491,7.49,29.73
20190928,彰濱線西,6887,7.64,28.98
20190928,龍德,2394,7.93,24.73
20190928,龜山,2219,6.84,34.71
20190928,臨海,7471,6.77,33.94
20190928,觀音,4441,7.23,28.57
20190929,土城,5257,6.41,30.69
20190929,大甲幼獅,7482,7.52,27.69
20190929,大武崙,811,7.02,24.31
20190929,大社,7448,6.41,33.07
20190929,大發,10290,7.20,34.35
20190929,大園,4267,7.13,29.23
20190929,中壢,3844,7.00,30.61
20190929,內埔,2165,7.06,29.04
20190929,斗六,2790,7.39,30.25
20190929,台中,1670,7.35,28.37
20190929,台南科技,8120,6.74,28.44
20190929,平鎮,2494,6.69,30.27
20190929,民雄,4392,6.93,34.46
20190929,永安,8384,7.00,31.87
20190929,永康,2551,7.20,32.57
20190929,全興,2318,7.45,31.48
20190929,安平,1494,7.56,30.59
20190929,竹圍子,3915,7.10,30.92
20190929,官田,3358,6.86,30.09
20190929,林園,6307,7.60,35.77
20190929,芳苑,3026,7.88,34.13
20190929,南崗,4777,6.66,31.08
20190929,屏南,6484,6.94,32.10
20190929,桃園幼獅,2894,6.84,26.62
20190929,雲林科技,1492,3.34,16.42
20190929,新北,466,7.07,26.99
20190929,新竹,5090,6.96,29.08
20190929,新營,5919,7.14,31.86
20190929,嘉太,7089,6.73,31.78
20190929,彰濱鹿港,5423,7.37,30.05
20190929,彰濱線西,6907,7.64,29.05
20190929,龍德,2397,7.93,25.11
20190929,龜山,1877,6.82,34.64
20190929,臨海,7916,6.59,34.10
20190929,觀音,3950,7.26,27.95
20190930,土城,4039,6.47,28.60
20190930,大甲幼獅,7668,7.64,25.58
20190930,大武崙,1312,6.86,24.65
20190930,大社,6988,6.25,33.02
20190930,大發,10209,7.55,34.61
20190930,大園,4140,7.01,28.65
20190930,中壢,3414,7.02,29.30
20190930,內埔,1892,7.05,28.86
20190930,斗六,2733,7.38,29.55
20190930,台中,1623,7.30,27.78
20190930,台南科技,8357,6.71,28.26
20190930,平鎮,2928,6.46,29.17
20190930,民雄,4329,7.02,33.83
20190930,永安,8802,6.90,31.11
20190930,永康,2493,7.28,31.15
20190930,全興,2298,7.66,31.03
20190930,安平,1490,7.60,30.55
20190930,竹圍子,4054,7.13,30.91
20190930,官田,3228,6.88,29.76
20190930,林園,5949,7.62,35.73
20190930,芳苑,2910,7.59,32.91
20190930,南崗,4699,6.57,30.99
20190930,屏南,6509,6.71,31.89
20190930,桃園幼獅,2069,6.84,26.07
20190930,雲林科技,1452,3.48,16.38
20190930,新北,445,6.94,26.59
20190930,新竹,4936,6.87,28.72
20190930,新營,5655,7.04,31.48
20190930,嘉太,9095,6.48,31.24
20190930,彰濱鹿港,5451,7.10,29.71
20190930,彰濱線西,6904,7.71,28.78
20190930,龍德,2323,7.79,25.68
20190930,龜山,1896,6.86,32.32
20190930,臨海,7770,6.61,34.09
20190930,觀音,4257,7.37,27.08
20191001,土城,3030,6.47,28.90
20191001,大甲幼獅,7803,7.64,26.00
20191001,大武崙,852,6.98,24.27
20191001,大社,6983,6.44,32.49
20191001,大發,9592,7.86,34.11
20191001,大園,4261,7.14,28.76
20191001,中壢,2720,6.98,29.15
20191001,內埔,1861,7.05,28.27
20191001,斗六,2584,7.32,29.01
20191001,台中,1509,7.33,27.89
20191001,台南科技,8713,6.77,27.96
20191001,平鎮,1332,6.61,28.73
20191001,民雄,4240,7.01,33.01
20191001,永安,8704,6.97,31.14
20191001,永康,2571,7.27,30.94
20191001,全興,2446,7.54,31.13
20191001,安平,1505,7.52,30.18
20191001,竹圍子,4108,7.16,30.92
20191001,官田,3754,6.77,29.43
20191001,林園,5950,7.63,35.65
20191001,芳苑,2741,7.61,32.18
20191001,南崗,4654,6.47,30.66
20191001,屏南,6670,6.82,30.96
20191001,桃園幼獅,1761,7.10,25.47
20191001,雲林科技,1548,3.56,16.27
20191001,新北,414,6.92,26.40
20191001,新竹,3969,6.74,28.29
20191001,新營,5519,7.00,31.31
20191001,嘉太,8085,6.56,29.63
20191001,彰濱鹿港,5716,7.37,29.43
20191001,彰濱線西,6750,7.72,28.68
20191001,龍德,1945,7.74,25.21
20191001,龜山,1844,6.78,32.91
20191001,臨海,7858,6.54,33.93
20191001,觀音,4171,7.34,27.53
20191002,土城,3951,6.50,32.09
20191002,大甲幼獅,9461,7.40,28.39
20191002,大武崙,744,6.85,24.74
20191002,大社,7040,6.41,32.71
20191002,大發,9624,7.83,34.07
20191002,大園,4288,7.11,29.92
20191002,中壢,3020,6.95,30.78
20191002,內埔,2114,7.03,29.02
20191002,斗六,2541,7.31,29.44
20191002,台中,1496,7.45,27.70
20191002,台南科技,8756,6.73,28.55
20191002,平鎮,2405,6.37,29.62
20191002,民雄,3757,7.07,33.72
20191002,永安,8382,6.92,32.22
20191002,永康,2513,7.17,32.34
20191002,全興,2635,7.31,33.30
20191002,安平,1563,7.49,30.43
20191002,竹圍子,4112,7.28,31.00
20191002,官田,4268,6.79,29.64
20191002,林園,6745,7.61,35.80
20191002,芳苑,2772,7.57,33.45
20191002,南崗,4477,6.33,30.44
20191002,屏南,7101,6.55,31.68
20191002,桃園幼獅,2299,6.91,26.25
20191002,雲林科技,1356,3.57,16.33
20191002,新北,419,6.86,26.82
20191002,新竹,3593,6.86,28.89
