污水處理廠代碼,污水處理廠文件代碼,污水處理廠名稱,工業區代碼,管理單位代碼,營運方式代碼,污水處理廠地址,坐標,排放許可證號,污水處理廠聯絡資訊,資料更新時間
BWTP01,B2302705,臺中工業區污水處理廠,臺中工業區,工業局,自行操作廠,臺中市西屯區工業區四路1號,POINT (120.611 24.1642),待補,04 2568 0195,2018/9/1
CWTP01,C1500451,大武崙工業區污水處理廠,大武崙工業區,工業局,自行操作廠,基隆市安樂區武訓街58號,POINT (121.7 25.1465),待補,02 2432 6430,2018/9/1
DWTP01,D2801003,安平工業區污水處理廠,安平工業區,工業局,自行操作廠,臺南市南區新樂路71號,POINT (120.175 22.9691),待補,06 261 8428,2018/9/1
DWTP02,D3204697,臺南科技工業區污水處理廠,臺南科技工業區,工業局,自行操作廠,臺南市安南區鹿耳里科技五路600號,POINT (120.148 23.0454),待補,06 384 0231,2018/9/1
EWTP01,E5600921,高雄臨海林園大發工業區聯合污水處理廠臨海廠,高雄臨海工業區,工業局,自行操作廠,高雄市小港區鳳北路4號,POINT (120.343 22.5289),待補,07 787 1753,2018/9/1
EWTP02,S1502018,鳳山工業區污水處理廠,鳳山工業區,工業局,自行操作廠,高雄市鳳山區輜汽北二路1號,POINT (120.33288 22.61778),待補,07 717 0614,2018/9/1
EWTP03,S1901128,高雄臨海林園大發工業區聯合污水處理廠林園廠,林園工業區,工業局,自行操作廠,高雄市林園區沿海路一段1之8號,POINT (120.403 22.5002),待補,07 787 1753,2018/9/1
EWTP04,S2005152,高雄臨海林園大發工業區聯合污水處理廠大發廠,大發工業區,工業局,自行操作廠,高雄市大寮區建業路15號,POINT (120.425 22.5674),待補,07 787 1753,2018/9/1
EWTP05,S2300563,大社工業區污水處理廠,大社工業區,工業局,公辦民營廠,高雄市大社區三奶里經建路3號,POINT (120.335 22.724),待補,07 351 0436,2018/9/1
EWTP06,待補,仁武工業區污水處理廠,仁武工業區,工業局,自行操作廠,高雄市仁武區工業二路16號,POINT(120.34363 22.70029),待補,07 351 0436,2018/9/1
EWTP07,S3200651,永安工業區污水處理廠,永安工業區,工業局,自行操作廠,高雄市永安區維新里永工六路1號,POINT (120.252 22.8093),待補,07 621 2895,2018/9/1
FWTP01,F1302794,土城工業區污水處理廠,土城工業區,工業局,自行操作廠,新北市土城區中山路54號,POINT (121.429 24.9673),待補,02 2268 3684,2018/9/1
FWTP02,F1500745,新北產業園區污水處理廠,新北產業園區,工業局,自行操作廠,新北市五股區興珍里五工六路77號,POINT (121.447 25.0689),待補,02 2299 6661,2018/9/1
FWTP03,F1700790,林口工二工業區臨時應急污水處理廠,林口工二工業區,工業局,自行操作廠,新北市林口區工四路38之1號,POINT (121.40203 25.08311),待補,02 2601 0581,2018/9/1
GWTP01,G32A2586,利澤工業區污水處理廠,利澤工業區,工業局,自行操作廠,宜蘭縣蘇澳鎮頂寮里頂清路100號,POINT (121.83929 24.64295),待補,03 990 9128,2018/9/1
GWTP02,G3705072,龍德工業區污水處理廠,龍德工業區,工業局,自行操作廠,宜蘭縣冬山鄉德興十一路1號,POINT (121.829 24.6337),待補,03 990 2075,2018/9/1
HWTP01,H4304778,中壢工業區污水處理廠,中壢工業區,工業局,自行操作廠,桃園市中壢區松江北路137號,POINT (121.249 24.9979),待補,03 452 3346,2018/9/1
HWTP02,H4500592,桃園幼獅工業區污水處理廠,桃園幼獅工業區,工業局,自行操作廠,桃園市楊梅區青年路11號,POINT (121.169 24.9285),待補,03 464 2151,2018/9/1
HWTP03,H4700850,大園工業區污水處理廠,大園工業區,工業局,自行操作廠,桃園市大園區大工路51號,POINT (121.176 25.078),待補,03 386 0643,2018/9/1
HWTP04,H4801594,龜山工業區污水處理廠,龜山工業區,工業局,自行操作廠,桃園市龜山區建國東路27號,POINT (121.322 24.9864),待補,03 361 8324,2018/9/1
HWTP06,H5100907,平鎮工業區污水處理廠,平鎮工業區,工業局,公辦民營廠,桃園市平鎮區工業三路14號,POINT (121.2 24.905),待補,03 469 6123,2018/9/1
HWTP07,H5300667,觀音工業區污水處理廠,觀音工業區,工業局,公辦民營廠,桃園市觀音區樹林里經建七路5號,POINT (121.115 25.0643),待補,03 483 4997,2018/9/1
JWTP01,J5901354,新竹工業區污水處理廠,新竹工業區,工業局,公辦民營廠,新竹縣湖口鄉鳳山村自強路9號,POINT (120.999 24.8667),待補,03 598 2051,2018/9/1
LWTP01,L8801338,大甲幼獅工業區污水處理廠,大甲幼獅工業區,工業局,自行操作廠,臺中市大甲區日南里工五路1號,POINT (120.652 24.4047),待補,04 2681 1834,2018/9/1
LWTP02,L0504305,大里工業區污水處理廠,大里工業區,工業局,自行操作廠,臺中市大里區仁化里工業十一路180號,POINT (120.71233 24.10202),待補,04 2491 7810,2018/9/1
MWTP01,M3302824,南崗工業區污水處理廠,南崗工業區,工業局,自行操作廠,南投縣南投市彰南路三段840號,POINT (120.668 23.9424),待補,04 9225 2294,2018/9/1
NWTP01,N0804280,彰化濱海工業區鹿港區污水處理廠,彰化濱海工業區,工業局,自行操作廠,彰化縣鹿港鎮鹿工北三路8號,POINT (120.414 24.0788),待補,02 2435 0568#2328,2018/9/1
NWTP02,N1504556,彰化濱海工業區線西區污水處理廠,彰化濱海工業區,工業局,自行操作廠,彰化縣線西鄉彰濱西五路6號,POINT (120.438 24.1537),待補,04 791 0589,2018/9/1
NWTP03,N1601041,全興工業區污水處理廠,全興工業區,工業局,公辦民營廠,彰化縣伸港鄉全興村西全路167巷111號,POINT (120.511 24.1714),待補,04 798 0776,2018/9/1
NWTP04,待補,社頭織襪工業區污水處理廠,社頭織襪工業區,工業局,自行操作廠,彰化縣社頭鄉社石路575號,POINT (120.60005 23.90311),待補,04 896 9535,2018/9/1
NWTP05,N2900801,芳苑工業區污水處理廠,芳苑工業區,工業局,公辦民營廠,彰化縣芳苑鄉後寮村工區十一路40號,POINT (120.347 23.9121),待補,04 896 7935,2018/9/1
PWTP01,P4601715,斗六工業區污水處理廠,斗六工業區,工業局,公辦民營廠,雲林縣斗六市斗工二路2號,POINT (120.588 23.7197),待補,05 557 2870,2018/9/1
PWTP02,P4606345,雲林科技工業區污水處理廠,雲林科技工業區,工業局,自行操作廠,雲林縣斗六市虎溪里科工六路6號,POINT (120.504 23.7232),待補,05 551 2433,2018/9/1
PWTP03,P46A1631,雲林科技工業區竹圍子區污水處理廠,雲林科技工業區,工業局,公辦民營廠,雲林縣斗六市雲科路二段26號,POINT (120.546 23.7368),待補,05 551 2433,2018/9/1
QWTP01,Q7600553,嘉太工業區污水處理廠,嘉太工業區,工業局,自行操作廠,嘉義縣太保市過溝村中興路21號,POINT (120.35599 23.50876),待補,05 237 2464,2018/9/1
QWTP02,Q6901060,民雄工業區污水處理廠,民雄工業區,工業局,自行操作廠,嘉義縣民雄鄉福樂村中正路51號,POINT (120.449 23.5197),待補,05 221 0203,2018/9/1
RWTP01,R8400934,新營工業區污水處理廠,新營工業區,工業局,自行操作廠,臺南市鹽水區橋南里新太路21號,POINT (120.281 23.3033),待補,06 652 6838,2018/9/1
RWTP02,D9700269,官田工業區污水處理廠,官田工業區,工業局,自行操作廠,臺南市官田區二鎮里工業路2號,POINT (120.323 23.209),待補,06 698 1911,2018/9/1
RWTP03,R1403339,永康工業區污水處理廠,永康工業區,工業局,自行操作廠,臺南市永康區王行里環工路89號,POINT (120.274 23.0491),待補,06 232 0485,2018/9/1
TWTP01,T5500648,內埔工業區污水處理廠,內埔工業區,工業局,自行操作廠,屏東縣竹田鄉永豐村永豐路120號,POINT (120.529 22.6295),待補,08 778 2702,2018/9/1
TWTP02,T5700282,屏南工業區污水處理廠,屏南工業區,工業局,自行操作廠,屏東縣枋寮鄉東海村精進路50號,POINT (120.57 22.4078),待補,08 866 5290,2018/9/1
UWTP02,U9501304,光華樂活創意園區污水處理廠,光華工業區,工業局,自行操作廠,花蓮縣吉安鄉光華村華中路9號,POINT (121.59608 23.93644),待補,03 822 2030,2018/9/1
UWTP03,U0100196,和平工業區污水處理廠,和平工業區,工業局,自行操作廠,花蓮縣秀林鄉和平村263之5號,POINT (121.75144 24.30312),待補,03 868 1119,2018/9/1
