區處別,淨水場名稱,X座標(TWD97),Y座標(TWD97),主要供水轄區,原水來源
1,烏來淨水場,305845.1711 ,2750959.5874 ,新北市烏來區,桶後溪
1,萬里淨水場,319223.9892 ,2785873.6452 ,萬里全區,萬里湧泉
1,三芝淨水場,301013.3249 ,2794826.6424 ,新北市三芝區及淡水區,三芝1.2號井
1,北投子淨水場,296845.8559 ,2785249.5993 ,新北市淡水區,北投子湧泉
1,湧泉淨水場,296845.8559 ,2785249.5993 ,新北市淡水區,湧泉
1,興華淨水場,301340.7283 ,2787504.0476 ,新北市三芝區及石門區,公司田溪
1,樹興淨水場,299212.2625 ,2785102.2819 ,新北市三芝區及石門區,公司田溪
1,白雲淨水場,316635.2188 ,2771353.0611 ,汐止水源路二段.汐碇路,康誥坑溪
1,平溪淨水場,325789.1971 ,2767551.5932 ,新北市平溪區,東勢格溪
1,坪林淨水場,322003.4520 ,2759246.5565 ,新北市坪林區、深坑區、石碇區,北勢溪
1,林莊淨水場,310207.7974 ,2789064.1666 ,金山全區,頂中股圳
1,石碇淨水場,315969.2450 ,2766705.4300 ,新北市深坑區、石碇區,景美溪、無名溪
1,二坪淨水場,315835.7220 ,2785786.6400 ,新北市萬里區及基隆市基金一、二、三路等地區,二坪湧泉
1,老梅淨水場,305636.2489 ,2794812.8348 ,新北市三芝區及石門區,老梅溪、四合興圳
1,中幅淨水場,317998.7470 ,2784233.6800 ,新北市萬里區及基隆市基金一、二、三路等地區,瑪鋉溪
1,員山淨水場,332899.9269 ,2777194.5090 ,新北市瑞芳區市區含猴硐大寮工業區四腳亭地區,基隆河、蛇形溪
1,六堵淨水場,320867.2470 ,2776428.1200 ,六堵工業區及七堵區,瑪陵坑溪
1,安樂淨水場,323757.0450 ,2780851.3400 ,基隆市中山區及安樂區,瑪鋉溪
1,暖暖淨水場,323938.8230 ,2776661.8100 ,基隆市之暖暖區、七堵區、仁愛區及台北縣四腳亭地區,基隆河、東勢溪、西勢水庫
1,貢寮淨水場,342865.8694 ,2767327.9141 ,新北市貢寮區、雙溪區、瑞芳區及基隆市,雙溪
