source_note,source_email,id,name,twd97lon,twd97lat,twd97tm2x,twd97tm2y,note,process_note
喝乾淨水聯盟,hsinchu.drink@gmail.com,1_R-1.1,台星科_1,121.1298,24.7392,263351.992,2736986.238,排放口側溝(頭前溪),預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,2_R-1.2,台星科_2,121.1359083,24.74512778,264160.0688,2738094.818,鹿寮坑溪原始水體(頭前溪),預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,3_R-1.3,台星科_3,121.1359083,24.74337778,264161.2016,2736987.236,排放口與本流匯入處(頭前溪),預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,4_R-2,竹北生活汙水排放口,121.0216,24.8087,252021.8934,2744733.236,竹北生活汙水排放口(頭前溪),預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,5_R-3,福竹街兒18公園,121.0058972,24.83539722,251010.7032,2748055.902,全民時代社區旁(豆子埔溪),預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,6_R-4,社崙橋旁,120.9975167,24.83520278,250000,2748055.865,廖茶先生媽廟(豆子埔溪),預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,7_L-1,竹東河濱公園匯流處,121.0854972,24.7467,259102.8979,2738090.569,竹東河濱公園匯流處,預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,8_L-2,關埔生活汙水排放口,121.0216972,24.7908,252022.2177,2742518.059,關埔生活汙水排放口,預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,9_L-3,柯子湖溪匯流頭前溪處,121.0208972,24.8015,252022.0556,2743625.647,柯子湖溪匯流頭前溪處,預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,10_L-4,隆恩堰取水口,121.0364,24.79619722,254044.1114,2743626.091,隆恩堰取水口(頭前溪),預計收錄
喝乾淨水聯盟,hsinchu.drink@gmail.com,11_L-5,湳雅取水口,120.9778278,24.82505278,247978.4312,2746948.419,湳雅取水口,預計收錄
LASS,wuulong@gmail.com,waterq-1,中正大橋,121.057616,24.785688,255825.86,2742041.59,,預計收錄
LASS,wuulong@gmail.com,waterq-2,內灣吊橋,121.183239,24.702032,268540.57,2732787.18,,預計收錄
LASS,wuulong@gmail.com,waterq-3,竹東大橋,121.103294,24.722675,260449.75,2735065.04,,預計收錄
LASS,wuulong@gmail.com,waterq-4,竹林大橋,121.093596,24.747684,259466.79,2737834.34,,預計收錄
LASS,wuulong@gmail.com,waterq-5,湳雅取水口(取代溪洲大橋),120.979296,24.825091,247907.19,2746404.68,,預計收錄
LASS,wuulong@gmail.com,waterq-6,瑞昌大橋(原為瑞豐大橋),121.119079,24.66806,262051.99,2729017.33,,預計收錄
LASS,wuulong@gmail.com,waterq-7,頭前溪橋,120.99701,24.822895,249697.79,2746161.31,,預計收錄
LASS,wuulong@gmail.com,waterq-8,寶山水庫取水口,121.1030449,24.6900185,255595.87,2737736.74,,預計收錄
