區處別,系統代號,淨水場名稱,淨水場資訊,氟鹽(Fluoride),硝酸鹽氮(Nitrate),總溶解固體量(Total Dissolved Solids),糞便性大腸桿菌群(Fecal coliform),砷(Arsenic),自由有效餘氯(Free Chlorine Residual),濁度(Turbidity),色度(Color),臭度(Odor),總鹼度(Total Alkalinity),pH值(pH ),氯鹽(Chloride),硫酸鹽(Sulfate),氨氮(Ammonia),亞硝酸鹽氮(Nitrite),總硬度(Total Hardness),鐵(Iron),錳(Manganese),總菌落數(Total Bacterial Count),大腸桿菌群(Coliform Group),總三鹵甲烷(Total Trihalomethanes),鉛(Lead),硒(Selenium),汞(Mercury),鋅(Zinc),銀(Silver),銅(Copper),鉻(Chromium),鎳(Nickel),鎘(Cadmium),鋇(Barium),銻(Antimony),陰離子界面活性劑(Anionic Surfactants),靈丹(Lindane),安殺番(Endosulfan),巴拉刈(Paraquat),大利松(Diazinon),巴拉松(Parathion),一品松(EPN),氰鹽(Cyanate),酚(Phenols),達馬松(Methamidophos),丁基拉草(Butachlor),2，4-地(2，4-D),納乃得(Methomyl),滅必蝨(MIPC(Isoprocarb)),加保扶(Carbofuran),亞素靈(Monocrotophos),鋁(Aluminium),溴酸鹽(Bromate),三氯乙烯(Trichloroethene),四氯化碳(Carbon tetracholoride),1，1，1-三氯乙烷 (1，1，1-Trichloroethane),1，2-二氯乙烷(1，2-Dichloroethane),氯乙烯(Vinyl chloride),苯(Benzene),對-二氯苯(1，4-Dichlorobenzene),1，1-二氯乙烯(1，1-Dichloroethene),二氯甲烷(Dichloromethane),鄰-二氯苯(1，2-Dichlorbenzene),甲苯(Toluene),二甲苯(Xylene),順-1，2-二氯乙烯(cis-1，2-Dichloroethene),反-1，2-二氯乙烯(trans-1，2-Dichloroethene),四氯乙烯(Tetrachloroethene),鹵乙酸類(Haloacetic acids),水質合格否(Y/N)
,,,項次,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,
,,,飲用水水質標準,0.8,10,500,－－,0.01,0.2-1.0,2,5,3,－－,6.0-8.5,250,250,0.1,0.1,300,0.3,0.05,100,6,0.08,0.01,0.01,0.001,5,0.05,1,0.05,0.02,0.005,2,0.01,0.5,0.0002,0.003,0.01,0.005,0.02,0.005,0.05,0.001,0.02,0.02,0.07,0.01,0.02,0.02,0.003,0.2,0.01,0.005,0.005,0.2,0.005,0.0003,0.005,0.075,0.007,0.02,0.6,0.7,0.5,0.07,0.1,0.005,0.06,－－
,,,單位,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,NTU,鉑鈷單位,初嗅數,mg/L,－－,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,CFU/mL,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,－－
一區,0101,新山淨水場,新山淨水場(Sinshan)基隆市麥金路720號[0162030]{0101}<基隆市@Keelung City>,0.04,1.13,126,<1,0.00023,0.69,0.25,<5,<1,34.8,7.1,18.4,17.4,ND,ND,44.2,0.05,ND,<1,<1,0.0254,0.0003,<0.0001,ND,<0.01,<0.01,<0.01,<0.01,0.0004,<0.0001,0.0196,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0802,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0161,Y
一區,0101,暖暖淨水場,暖暖淨水場(Nuannuan)基隆市水源路38號[0162012]{0101}<基隆市@Keelung City>,0.03,0.84,89.6,<1,0.0002,0.71,0.25,<5,<1,20.3,6.9,15,10.4,ND,ND,27.9,0.04,ND,<1,<1,0.0257,ND,<0.0001,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0298,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,<0.0001,ND,ND,ND,ND,0.091,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.021,Y
一區,0101,員山淨水場,員山淨水場(Yuanshan)新北市瑞芳區員山路19-1號[0141019]{0101}<新北市@New Taipei City>,0.03,0.56,109,<1,0.00039,0.64,0.55,<5,<1,32.8,7.6,13.1,14.5,ND,ND,34.6,0.03,ND,<1,<1,0.0224,ND,0.0001,ND,<0.01,ND,<0.01,<0.01,0.0002,ND,0.0146,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0878,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0205,Y
一區,0104,坪林淨水場,坪林淨水場(Pinglin)新北市坪林區坪林里國中路3號[0146023]{0104}<新北市@New Taipei City>,0.03,0.58,54.8,－－,0.00016,0.55,0.3,<5,<1,17,7.5,7.45,6.5,ND,ND,19.9,0.06,ND,<1,<1,0.00333,ND,<0.0001,ND,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0157,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.055,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00337,Y
一區,0106,林莊淨水場,林莊淨水場(Linjhuang)新北市金山區重合里林口28—2號[0145044]{0106}<新北市@New Taipei City>,0.02,0.79,82.8,－－,0.00062,0.52,0.5,<5,<1,21.7,7.6,9.04,8.17,ND,ND,28.1,0.08,ND,<1,<1,0.00125,ND,0.0001,ND,<0.01,<0.01,<0.01,<0.01,<0.0001,ND,0.0024,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0993,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0022,Y
一區,0105,老梅淨水場,老梅淨水場(Laomei)新北市石門區老梅里七股33之2號[0144056]{0105}<新北市@New Taipei City>,0.02,0.89,92,－－,0.00034,0.61,0.6,<5,<1,23.5,7.5,13.5,4.45,ND,ND,25.6,0.03,ND,<1,<1,0.0105,ND,0.0002,ND,<0.01,ND,<0.01,<0.01,0.0002,ND,0.0029,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.116,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00669,Y
一區,0101,貢寮淨水場,貢寮淨水場(Gongliao)新北市貢寮區下雙溪街20號[0147011]{0101}<新北市@New Taipei City>,0.03,0.42,79.2,<1,0.00022,0.72,0.15,<5,<1,24.6,7.2,14.3,8.41,ND,ND,27.6,0.02,ND,<1,<1,0.0208,ND,0.0001,ND,<0.01,<0.01,<0.01,<0.01,0.0006,ND,0.0315,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0543,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00992,Y
二區,0201,平鎮淨水場,平鎮淨水場(Pingjen)桃園市平鎮區南豐路267號[0262022]{0201}<桃園市@Taoyuan County>,0.09,0.35,157,<1,0.00038,0.71,0.4,<5,<1,67.9,7.6,4.67,36.9,ND,ND,92.9,ND,ND,<1,<1,0.00741,0.0008,0.0003,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0001,ND,0.0107,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.117,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00625,Y
二區,0201,大湳淨水場,大湳淨水場(Danan)桃園市桃園區國際路一段485巷101號[0263010]{0201}<桃園市@Taoyuan County>,0.11,0.52,165,<1,0.00036,0.7,0.3,<5,<1,71,7.6,8.17,34.4,ND,ND,95.9,0.02,ND,<1,<1,0.0163,0.0044,0.0002,ND,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0138,0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.12,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0107,Y
二區,0201,石門淨水場,石門淨水場(Shihmen)桃園市平鎮區水廠路150號[0262013]{0201}<桃園市@Taoyuan County>,0.09,0.37,154,<1,0.00039,0.64,0.3,<5,<1,65.3,7.7,5.39,36.1,ND,ND,91.6,ND,ND,<1,<1,0.00968,0.0008,0.0003,<0.0001,<0.01,<0.01,<0.01,<0.01,0.0003,ND,0.0117,0.0002,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.104,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00685,Y
二區,0201,龍潭淨水場,龍潭淨水場(Longtan)桃園市龍潭區佳安村文化路209號[0261007]{0201}<桃園市@Taoyuan County>,0.09,0.79,136,<1,0.00029,0.74,0.3,<5,<1,59.5,7.6,5.2,32,ND,ND,88.2,ND,ND,<1,<1,0.00933,0.0022,0.0002,ND,<0.01,ND,<0.01,<0.01,0.0003,ND,0.0074,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.109,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00673,Y
二區,0206,復興淨水場,復興淨水場(Fusing)桃園市復興區中正路280號[0246024]{0206}<桃園市@Taoyuan County>,0.09,0.44,112,－－,0.00024,0.55,0.4,<5,<1,63.3,7.5,3.71,7.6,ND,ND,58.5,ND,ND,<1,<1,0.00825,0.0026,ND,ND,<0.01,ND,<0.01,<0.01,0.0002,ND,0.0069,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.052,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00669,Y
三區,0301,新竹第一淨水場,新竹第一淨水場(Hsinchu First)新竹市博愛街1號[0361017]{0301}<新竹縣市@Hsinchu City>,0.13,1.1,268,<1,0.00019,0.65,0.25,<5,<1,118,7.8,11.2,43.3,ND,<0.01,152,0.02,ND,1,<1,0.00872,ND,ND,ND,<0.01,ND,<0.01,ND,0.0008,ND,0.0207,0.0001,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0748,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00962,Y
三區,0301,新竹第二淨水場,新竹第二淨水場(Hsinchu Second)新竹市東美路91巷100號[0361044]{0301}<新竹縣市@Hsinchu City>,0.12,0.85,246,<1,0.00021,0.57,0.2,<5,<1,116,8,9.74,45,0.02,<0.01,147,0.03,ND,1,<1,0.0194,ND,ND,ND,<0.01,ND,<0.01,ND,0.0008,ND,0.0196,0.0001,0.05,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0001,ND,ND,ND,ND,0.0577,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0141,Y
三區,0301,寶山淨水場,寶山淨水場(Baoshan)新竹縣竹東鎮柯湖里柯湖路三段305巷130號[0363011A3]{0301}<新竹縣市@Hsinchu City>,0.11,0.25,228,<1,0.00042,0.76,0.3,<5,<1,101,7.9,6.04,62.3,ND,<0.01,134,0.02,<0.001,<1,<1,0.0118,0.0006,ND,ND,<0.01,ND,<0.01,<0.01,0.0005,<0.0001,0.016,0.0001,0.04,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.097,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0102,Y
三區,0301,湳雅淨水場,湳雅淨水場(Nanya)新竹市湳雅街313巷32弄28號[0343024]{0301}<新竹縣市@Hsinchu City>,0.12,1.39,300,<1,0.00035,0.6,0.55,<5,<1,127,7.6,17.9,52,ND,<0.01,170,0.03,0.006,1,<1,0.0142,0.0006,0.0012,ND,<0.01,<0.01,<0.01,<0.01,0.0009,<0.0001,0.026,0.0001,0.07,<0.00001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0889,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00003,ND,ND,ND,ND,0.0111,Y
三區,0302,員崠淨水場,員崠淨水場(Yuntong)新竹縣竹東鎮員崠淨仔61號[0341011]{0302}<新竹縣市@Hsinchu City>,0.11,0.29,245,<1,0.00025,0.66,0.25,<5,<1,106,8.1,2.7,68.8,ND,<0.01,159,0.02,<0.001,3,<1,0.00438,0.001,ND,0.0002,ND,ND,ND,<0.01,0.0002,<0.0001,0.0189,0.0001,0.07,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0196,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00305,Y
三區,0308,桃山淨水場,桃山淨水場(Taoshan)新竹縣五峰鄉桃山村桃山1號[0341066]{0308}<新竹縣市@Hsinchu City>,0.08,2.91,166,－－,0.00025,0.51,0.25,<5,<1,105,8.3,3.97,15.2,ND,<0.01,118,<0.01,ND,1,<1,0.00606,0.0006,ND,0.0002,ND,ND,<0.01,<0.01,ND,<0.0001,0.019,<0.0001,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.0148,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.00408,Y
