fid,field_1,_id,lat,lng,stationName,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE
"1","0",e051e3f1-3eb6-456b-8342-c2b267bdd245,21.99188,120.74743,恆春鎮_湖內路,T04,"10013040",屏東縣,恆春鎮,Hengchun Township,T,"10013"
"2","1",b2c643f4-3f68-47d8-83b0-d3f3159e27df,23.517956,120.228886,107P007水林松中村蔦松,P20,"10009200",雲林縣,水林鄉,Shuilin Township,P,"10009"
"3","2",b2773745-9077-4bcb-b15d-9dcb8a2fed19,23.43392,120.240089,107Q007朴子竹村里鴨母寮,Q02,"10010020",嘉義縣,朴子市,Puzi City,Q,"10010"
"4","3",9debacd7-d006-4759-9b27-8fa143650457,22.36977,120.59133,枋寮鄉_枋寮高中,T16,"10013160",屏東縣,枋寮鄉,Fangliao Township,T,"10013"
"5","4",ae0652cb-2f34-4a47-ab20-a91845ac6774,22.46569,120.46308,東港鎮_東港派出所,T03,"10013030",屏東縣,東港鎮,Donggang Township,T,"10013"
"6","5",45599982-f82d-4ba2-ac5c-7f23d2d3ce6e,24.8455,120.9405,舊港島淹水感測站,O02,"10018020",新竹市,北區,N. District,O,"10018"
"7","6",e040cbc5-e893-4a32-b3e1-e5b3232b00e6,23.500508,120.341948,107Q004太保舊埤里勞工住宅,Q12,"10010010",嘉義縣,太保市,Taibao City,Q,"10010"
"8","7",eb0ad138-6444-4ee3-be9c-b1a2fc26b333,23.34224,120.19554,107Q012義竹北華村北華,Q10,"10010100",嘉義縣,義竹鄉,Yizhu Township,Q,"10010"
"9","8",be815803-90fb-48b5-9558-4355c5b3f63d,23.578457,120.171781,107P006口湖蚵寮村箔子寮,P19,"10009190",雲林縣,口湖鄉,Kouhu Township,P,"10009"
"10","9",c5bc815d-8883-456e-b723-f5c3ae3793c7,22.430165,120.528104,羌光橋,T21,"10013210",屏東縣,佳冬鄉,Jiadong Township,T,"10013"
"11","10",c8f0ec8a-b5e6-448c-b2cb-b2575d789eb6,23.66735,120.49547,雲林斗南仁德橋,P02,"10009020",雲林縣,斗南鎮,Dounan Township,P,"10009"
"12","11",871f66c5-cf88-4d07-ba6a-bd25c36c8063,23.640463,120.358111,107P005元長瓦磘村瓦磘厝,P17,"10009170",雲林縣,元長鄉,Yuanchang Township,P,"10009"
"13","12",8df87082-b8e0-45ae-8800-37d3e3ab2f6f,23.432375,120.233733,107Q008朴子竹村里過埤子,Q02,"10010020",嘉義縣,朴子市,Puzi City,Q,"10010"
"14","13",8e013e77-8bcb-41cf-bd3b-ffb73d21fc0c,22.83931,120.46482,旗山區_石岩寺,E30,"64000300",高雄市,旗山區,Qishan District,E,"64000"
"15","14",1d02b1f1-8d09-45c6-aada-3ec310b6e8a7,23.389559,120.188797,107Q011布袋考試里鹿寮,Q03,"10010030",嘉義縣,布袋鎮,Budai Township,Q,"10010"
"16","15",d7a4266e-6171-432c-8c2b-9404769e2c04,23.451083,120.204181,107Q006布袋貴舍里新十全,Q03,"10010030",嘉義縣,布袋鎮,Budai Township,Q,"10010"
"17","16",1c8f0f5d-7940-4734-b59a-4f0031ef5304,23.581772,120.343544,107Q002新港南崙村溪底寮,Q07,"10010070",嘉義縣,新港鄉,Xingang Township,Q,"10010"
"18","17",0a429e45-6f29-482d-adfb-5894cd37dc29,22.90036,120.54183,美濃區_中正一路,E31,"64000310",高雄市,美濃區,Meinong District,E,"64000"
"19","18",bf266213-9858-4f18-9b05-44d9d3680beb,22.426639,120.530495,台17線266K處,T21,"10013210",屏東縣,佳冬鄉,Jiadong Township,T,"10013"
"20","19",dba9e469-acf9-4f24-97b1-86519a08b073,22.448433,120.503354,瑤仔口橋,T03,"10013030",屏東縣,東港鎮,Donggang Township,T,"10013"
"21","20",5b0326a8-aa3c-4aec-b827-a2395db8b3f3,22.38331,120.57354,枋寮鄉_義民路,T16,"10013160",屏東縣,枋寮鄉,Fangliao Township,T,"10013"
"22","21",5b984860-81f8-4ac9-9dd1-569d164b4ea0,23.45422,120.140685,107Q005東石海埔地,Q09,"10010090",嘉義縣,東石鄉,Dongshi Township,Q,"10010"
"23","22",969cc500-c74c-4aea-9f2a-687fa2135d92,23.67956,120.404787,107P003虎尾延平里下湳子,P03,"10009030",雲林縣,虎尾鎮,Huwei Township,P,"10009"
"24","23",9a31a388-6057-4503-9695-ac373e57646d,22.89857,120.53998,美濃區_天后宮,E31,"64000310",高雄市,美濃區,Meinong District,E,"64000"
"25","24",33eabd6d-1207-49b0-a3d1-106a9eed7819,22.438062,120.519286,中林路全聯門口,T19,"10013190",屏東縣,林邊鄉,Linbian Township,T,"10013"
